profile	case	expected	actual	identity	dirty-transitions	reevaluations	generation-evidence
dynamic-class	preservation	preserved	preserved	model-1	0	0	token-256
dynamic-class	coalescing-20	coalesced	coalesced	model-1	1	1	active
dynamic-class	external-fact	admitted	admitted	model-1	1	1	serialized
dynamic-class	replacement	detached-attached	detached-attached	model-2	1	0	old-256-new-512
dynamic-class	removal-reuse	stale-rejected	stale-rejected	model-2	1	0	old-256-new-512
dynamic-class	failed-derivation	live-rederived-no-replay	live-rederived-no-replay	model-1	1	1	token-256
dynamic-class	duplicate-owner	duplicate-owner	duplicate-owner	model-1	0	0	one-owner
dynamic-class	state-exhaustion	state-exhausted	state-exhausted	none	0	0	state-cap-1
dynamic-class	registration-exhaustion	registration-exhausted	registration-exhausted	none	0	0	registration-cap-1
static-handle	preservation	preserved	preserved	model-1	0	0	token-256
static-handle	coalescing-20	coalesced	coalesced	model-1	1	1	active
static-handle	external-fact	admitted	admitted	model-1	1	1	serialized
static-handle	replacement	detached-attached	detached-attached	model-2	1	0	old-256-new-512
static-handle	removal-reuse	stale-rejected	stale-rejected	model-2	1	0	old-256-new-512
static-handle	failed-derivation	live-rederived-no-replay	live-rederived-no-replay	model-1	1	1	token-256
static-handle	duplicate-owner	duplicate-owner	duplicate-owner	model-1	0	0	one-owner
static-handle	state-exhaustion	state-exhausted	state-exhausted	none	0	0	state-cap-1
static-handle	registration-exhaustion	registration-exhausted	registration-exhausted	none	0	0	registration-cap-1
