candidate	case	expected	actual	pass	detail
copy-to-plan	line-without-move	invalid-state	invalid-state	pass	-
copy-to-plan	empty-and-one-point-subpaths	counts-0,1	counts-0,1	pass	-
copy-to-plan	horizontal-vertical	ordered-2	ordered-2	pass	-
copy-to-plan	multiple-subpaths	subpaths-2	subpaths-2	pass	-
copy-to-plan	one-point-repeated-zero-length	preserved	preserved	pass	-
copy-to-plan	later-mutation	snapshot-2	snapshot-2	pass	-
copy-to-plan	painter-order	grid-trace	grid-trace	pass	-
copy-to-plan	translation-valid	40,15	40,15	pass	-
copy-to-plan	translation-overflow	arithmetic-overflow	arithmetic-overflow	pass	-
copy-to-plan	path-point-exhaustion	path-exhausted	path-exhausted	pass	-
copy-to-plan	path-subpath-exhaustion	path-exhausted	path-exhausted	pass	-
copy-to-plan	plan-point-exhaustion	plan-exhausted	plan-exhausted	pass	-
copy-to-plan	stroke-operation-exhaustion	plan-exhausted	plan-exhausted	pass	-
copy-to-plan	late-sink-exhaustion	no-partial	no-partial	pass	sink-exhausted
copy-to-plan	maximum-workload	p836-s16-g820-o5	p836-s16-g820-o5	pass	digest-8824433647670263221
copy-to-plan	rgb565-tile-borrow	consumed-no-retain	consumed-no-retain	pass	-
unique-range-seal	line-without-move	invalid-state	invalid-state	pass	-
unique-range-seal	empty-and-one-point-subpaths	counts-0,1	counts-0,1	pass	-
unique-range-seal	horizontal-vertical	ordered-2	ordered-2	pass	-
unique-range-seal	multiple-subpaths	subpaths-2	subpaths-2	pass	-
unique-range-seal	one-point-repeated-zero-length	preserved	preserved	pass	-
unique-range-seal	later-mutation	snapshot-2	snapshot-2	pass	-
unique-range-seal	painter-order	grid-trace	grid-trace	pass	-
unique-range-seal	translation-valid	40,15	40,15	pass	-
unique-range-seal	translation-overflow	arithmetic-overflow	arithmetic-overflow	pass	-
unique-range-seal	path-point-exhaustion	path-exhausted	path-exhausted	pass	-
unique-range-seal	path-subpath-exhaustion	path-exhausted	path-exhausted	pass	-
unique-range-seal	plan-point-exhaustion	plan-exhausted	plan-exhausted	pass	-
unique-range-seal	stroke-operation-exhaustion	plan-exhausted	plan-exhausted	pass	-
unique-range-seal	late-sink-exhaustion	no-partial	no-partial	pass	sink-exhausted
unique-range-seal	maximum-workload	p836-s16-g820-o5	p836-s16-g820-o5	pass	digest-8824433647670263221
unique-range-seal	rgb565-tile-borrow	consumed-no-retain	consumed-no-retain	pass	-
direct-emission	line-without-move	invalid-state	invalid-state	pass	-
direct-emission	empty-and-one-point-subpaths	counts-0,1	counts-0,1	pass	-
direct-emission	horizontal-vertical	ordered-2	ordered-2	pass	-
direct-emission	multiple-subpaths	subpaths-2	subpaths-2	pass	-
direct-emission	one-point-repeated-zero-length	preserved	preserved	pass	-
direct-emission	later-mutation	snapshot-2	snapshot-2	pass	-
direct-emission	painter-order	grid-trace	grid-trace	pass	-
direct-emission	translation-valid	40,15	40,15	pass	-
direct-emission	translation-overflow	arithmetic-overflow	arithmetic-overflow	pass	-
direct-emission	path-point-exhaustion	path-exhausted	path-exhausted	pass	-
direct-emission	path-subpath-exhaustion	path-exhausted	path-exhausted	pass	-
direct-emission	plan-point-exhaustion	not-applicable	not-applicable	pass	-
direct-emission	stroke-operation-exhaustion	not-applicable	not-applicable	pass	-
direct-emission	late-sink-exhaustion	partial-output	partial-output	pass	sink-exhausted
direct-emission	maximum-workload	p836-s16-g820-o5	p836-s16-g820-o5	pass	digest-8824433647670263221
direct-emission	rgb565-tile-borrow	consumed-no-retain	consumed-no-retain	pass	-
